iter	Passed	Remaining
0	61	61164
1	69	34922
2	74	24696
3	78	19559
4	83	16520
5	86	14292
6	89	12678
7	92	11525
8	96	10675
9	100	9955
10	103	9325
11	106	8782
12	109	8320
13	113	8022
14	117	7718
15	120	7408
16	123	7142
17	126	6915
18	131	6767
19	134	6612
20	138	6449
21	141	6292
22	145	6166
23	148	6027
24	151	5899
25	154	5778
26	157	5678
27	161	5589
28	165	5542
29	168	5459
30	172	5396
31	175	5311
32	180	5284
33	183	5218
34	187	5166
35	190	5102
36	194	5051
37	197	5011
38	200	4947
39	203	4892
40	206	4835
41	210	4798
42	213	4761
43	217	4714
44	220	4673
45	223	4627
46	225	4578
47	229	4555
48	232	4519
49	235	4482
50	238	4446
51	242	4425
52	246	4401
53	249	4366
54	252	4341
55	255	4311
56	259	4287
57	262	4262
58	265	4236
59	268	4205
60	271	4180
61	274	4159
62	279	4156
63	282	4135
64	285	4108
65	288	4086
66	292	4078
67	296	4058
68	299	4035
69	302	4015
70	306	4009
71	311	4011
72	315	4005
73	318	3991
74	322	3976
75	327	3979
76	331	3967
77	333	3946
78	337	3934
79	342	3933
80	346	3927
81	349	3911
82	352	3891
83	355	3874
84	359	3868
85	362	3855
86	365	3834
87	368	3820
88	371	3804
89	375	3799
90	379	3787
91	382	3773
92	386	3770
93	394	3798
94	397	3791
95	401	3778
96	404	3769
97	409	3766
98	412	3756
99	416	3746
100	419	3738
101	423	3729
102	426	3718
103	429	3704
104	432	3689
105	435	3675
106	438	3662
107	442	3656
108	445	3643
109	448	3631
110	451	3617
111	455	3613
112	459	3603
113	462	3591
114	465	3583
115	468	3570
116	471	3558
117	475	3553
118	478	3540
119	481	3528
120	484	3517
121	487	3507
122	491	3504
123	494	3493
124	497	3482
125	500	3471
126	503	3462
127	508	3461
128	511	3453
129	515	3447
130	518	3436
131	521	3426
132	525	3424
133	528	3415
134	531	3406
135	534	3397
136	538	3393
137	542	3391
138	549	3402
139	552	3395
140	556	3392
141	560	3384
142	563	3375
143	566	3370
144	570	3366
145	574	3358
146	577	3348
147	579	3337
148	582	3327
149	585	3317
150	589	3317
151	592	3306
152	596	3299
153	598	3289
154	602	3283
155	607	3287
156	611	3282
157	614	3272
158	616	3263
159	620	3259
160	624	3253
161	627	3245
162	630	3236
163	633	3228
164	637	3225
165	640	3218
166	643	3210
167	646	3201
168	649	3195
169	653	3191
170	656	3184
171	659	3176
172	663	3169
173	666	3162
174	669	3155
175	672	3148
176	675	3140
177	678	3132
178	681	3126
179	685	3120
180	688	3115
181	691	3110
182	694	3102
183	698	3095
184	702	3094
185	705	3089
186	708	3082
187	711	3073
188	715	3069
189	719	3066
190	722	3060
191	726	3055
